,zip,year,property_crime,violent_crime,homicide,college,non_hip_white,rent_burdened,vacancy,severe_rent_b,med_rent,perc_under_18,perc_over_65,unemp_rate,eviction_rate,gardens,park_area
35,60612,2019,1783.0794,793.6407,18.87868,37.31052011,23.67866005,49.76670201,15.03604531,25.747614,1036,0.2106592401468922,0.0163547255327572,0.099197623,0.560344678,0,3.079771698
36,60613,2012,8511.1631,885.9529,8.1529,71.53682853,74.57978496,,8.716296422,,1108,0.2611971980471237,0.0139673105497771,0.058915421,0.883012,1,1.533591917
37,60613,2016,6374.8115,830.4013,4.8649,73.60271308,73.11335043,37.789717,10.58726787,16.69894421,1236,0.2781278509749008,0.0102688137822756,0.047865531,0.373864,1,1.533591917
38,60613,2019,1028.80984,178.08434,0.90814,75.28340029,71.94497947,34.00156523,8.621671412,14.45427729,1376,0.0844584261808013,0.0191811945645999,0.029881825,0.195102992,1,1.533591917
39,60614,2012,18560.6754,1362.0321,3.9744,82.61077844,81.69724566,,9.285287893,,1278,0.0654439349729053,0.0045852438516048,0.049966002,0.394289142,1,131.8528128
40,60614,2016,13626.8429,1039.8307,2.1931,83.09444456,79.48350688,36.19935128,7.982195035,16.4650157,1426,0.3269016349189582,0.0069011654519207,0.034087342,0.236168766,1,131.8528128
41,60614,2019,2523.2238,240.25042,0.85696,85.88307111,80.09973616,33.23310737,7.601659751,15.65711787,1669,0.3267675368432342,0.0062202282537781,0.026035817,0.130635637,1,131.8528128
42,60615,2012,9593.0358,2686.1199,42.1626,51.56448651,24.25835705,,15.98812908,,925,0.2697535799956386,0.0109762302827651,0.151555674,2.059591959,1,8.283575937
43,60615,2016,7646.7194,2223.1667,37.2822,56.43784651,25.52599548,53.52904435,13.39567854,31.86897078,1021,0.241189045000274,0.0168819542140938,0.111005331,1.8260046,1,8.283575937
44,60615,2019,1403.26206,452.72474,9.5829,62.14776632,28.51352007,54.28552518,10.72697233,32.30524853,1141,0.1278106690389275,0.0136353875885763,0.091635916,1.046201158,1,8.283575937
45,60616,2012,9883.6897,1810.195,11.6498,36.99000349,23.56615096,,15.2503611,,879,0.2281202264354389,0.0140623596010423,0.131915809,1.830183018,1,67.28546721
46,60616,2016,8719.3607,1833.6763,17.6551,39.31540728,22.86420692,46.4042887,9.281776596,23.1498431,945,0.2615777706802938,0.0134142446502714,0.089310115,0.884283428,1,67.28546721
47,60616,2019,1502.5411,427.36976,6.10802,48.7150425,27.35696482,38.30150292,6.481693801,17.76596443,1021,0.0519480519480519,0.0038684719535783,0.053331096,0.655729165,1,67.28546721
48,60617,2012,20278.8249,6693.3886,116.8868,16.22621172,7.538700785,,16.63634526,,818,0.297231528830894,0.0127314406630223,0.170044858,2.153366,1,18.4408346
49,60617,2016,14714.3766,5096.5702,109.6515,15.78916647,7.26481838,55.38315662,18.17672554,30.62667011,785,0.1971434457186019,0.0159651170775252,0.203065443,1.816764,1,18.4408346
50,60617,2019,2160.07218,929.51738,28.88254,19.23395913,5.882997771,49.65414243,16.24655489,29.76733218,846,0.0979565704529691,0.0093901723310035,0.145412747,1.270529436,1,18.4408346
51,60618,2012,16561.683,2498.4769,23.6334,37.74608934,43.5675487,,10.35143931,,987,0.1896922236386815,0.0242214532871972,0.082836567,0.767752,1,9.564850795
52,60618,2016,11898.903,1884.2294,18.4877,42.71176788,46.28367074,42.21760016,10.05897689,17.84281682,1078,0.257901920244321,0.0166213970081485,0.05767708,0.351306,1,9.564850795
53,60618,2019,1905.35128,377.56612,5.15782,51.05196,47.93652135,35.00192107,10.29965818,15.97233657,1212,0.2411423121160266,0.0150643812943585,0.035380612,0.243740763,1,9.564850795
54,60619,2012,22086.2489,8625.9919,135.2476,22.55219254,0.680713617,,18.33899539,,831,0.1011662884584938,0.0483402818090664,0.224800415,3.531529847,1,5.901519761
55,60619,2016,16389.098,6267.6782,142.6381,22.01858789,1.169972303,59.50729806,20.34285714,36.59599762,840,0.1713366010681103,0.0075170092910966,0.21392132,2.494856514,1,5.901519761
56,60619,2019,2671.51114,1256.20494,33.91628,26.69026953,0.998826827,55.0321341,17.01959353,37.01716027,891,0.1234978694881984,0.0173313544309857,0.160512383,1.90320202,1,5.901519761
57,60620,2012,23338.2444,8228.8512,129.0517,13.48437199,0.580510472,,16.63903787,,891,0.1308623298033283,0.0037821482602118,0.260578926,3.008178818,1,5.459714504
58,60620,2016,17827.8068,6576.0397,147.7034,16.4838655,0.877357538,58.3824707,15.32385988,35.92487443,856,0.0937873978875071,0.0443051147302148,0.222758838,2.462392239,1,5.459714504
59,60620,2019,3017.2144,1312.27664,37.11534,18.25735119,1.159087273,54.93632959,16.20082305,33.15355805,903,0.1724530449630051,0.0068481833036517,0.164586223,1.912070821,1,5.459714504
60,60621,2012,15574.2965,7165.1649,112.1376,6.054667873,0.778662328,,31.38546905,,827,0.1209930103639431,0.0208724993974451,0.275936084,3.683419,1,5.375819469
61,60621,2016,10496.5766,5329.3651,138.9527,7.77057784,1.220405952,63.0694864,33.26688414,39.45619335,804,0.0878594249201278,0.0103833865814696,0.334045701,2.38481,1,5.375819469
62,60621,2019,1501.8512,1006.9412,36.76576,9.710577696,1.454967086,55.41262136,32.08191126,34.49029126,824,0.2712641072556226,0.0103142861769134,0.244494214,0.986268007,1,5.375819469
63,60622,2012,15630.0961,2459.0909,23.3556,59.47385613,57.64503621,,10.42306963,,1110,0.0553496182238697,0.0577575008712733,0.05942025,0.617812781,1,32.83661386
64,60622,2016,12311.0465,1841.6564,19.5092,64.58762381,60.38335139,35.07428194,8.024474843,16.9692968,1264,0.1678014454165081,0.0152339292506656,0.051704131,0.206783678,1,32.83661386
65,60622,2019,2080.69592,388.27444,5.57712,71.68561053,64.44284986,29.03335602,8.378898148,12.6480599,1524,0.0485908649173955,0.0291545189504373,0.025144966,0.183811146,1,32.83661386
66,60623,2012,16377.8188,6850.4322,141.5209,7.349603338,2.606715726,,23.94065051,,779,0.0694668820678513,0.0500807754442649,0.169446859,1.75780222,1,13.28069636
67,60623,2016,12283.2235,6398.3168,139.2398,8.28715015,2.128504487,57.44202987,18.74857571,32.11727571,799,0.2430327062065862,0.0075930144267274,0.127926191,1.272053795,1,13.28069636
68,60623,2019,2038.87428,1369.71664,39.55176,12.04293586,3.845263212,54.74297506,15.63667344,24.54937185,873,0.1161170459823502,0.0143581251640784,0.111161718,0.793452134,1,13.28069636
69,60624,2012,13570.1079,6994.0308,135.0716,8.923282698,1.568607544,,25.37747862,,903,0.2574060648483788,0.0153871153221169,0.244878957,3.318488,0,20.00339526
70,60624,2016,10286.2111,6152.4873,165.8153,7.628827308,2.247338333,58.41233581,24.76948339,38.62935465,877,0.2201146059896269,0.0124435335452568,0.180339298,2.32652,0,20.00339526
71,60624,2019,1843.68016,1455.41156,50.06334,11.10809588,3.354823986,64.22338569,20.96406883,43.06282723,951,0.3150469397388157,0.0110400167829233,0.203026482,1.529175165,0,20.00339526
72,60625,2012,9159.1022,1614.316,20.2938,39.64888239,41.32299676,,9.906459916,,944,0.1739868237173088,0.0132761030145737,0.092288726,0.893512,1,10.06889121
73,60625,2016,7045.2893,1439.7658,20.4039,46.97065122,43.4453049,43.0037938,9.100261878,19.86721714,1037,0.2145695594079164,0.0167282697346729,0.073078618,0.39796,1,10.06889121
74,60625,2019,1303.21694,330.75814,4.34966,51.61347961,46.29789394,40.50038239,7.622810241,17.62263739,1188,0.3031155910459484,0.010298032028625,0.050937712,0.203232173,1,10.06889121
75,60626,2012,7301.4771,2212.8933,17.908,41.55422071,40.33110927,,14.28349756,,845,0.2669580530860792,0.021663024336424,0.085962931,2.461658332,1,19.14559519
76,60626,2016,5582.1275,1455.1082,24.3417,44.56192044,44.4120583,54.78545923,11.92421551,28.91178364,918,0.2619423417619584,0.0114028023836366,0.08535633,1.002629526,1,19.14559519
77,60626,2019,1205.02156,284.87326,5.3278,48.51301645,45.24766254,50.71045889,9.45813195,26.62473795,1006,0.0702331486611265,0.0091759002770083,0.055349057,0.488645328,1,19.14559519
78,60628,2012,23207.3472,8483.2092,129.5281,16.21896234,1.912136322,,16.76402066,,950,0.1109050709649811,0.0168889522858569,0.205354752,2.706374088,1,4.877890395
79,60628,2016,15699.4498,6121.7522,131.1848,18.93951385,1.837625042,59.32365304,18.12645718,39.51089033,936,0.2409026798307475,0.0202590075650724,0.261181089,2.062860142,1,4.877890395
80,60628,2019,2506.78928,1209.95234,39.92248,21.69364657,2.424317007,52.94892582,19.42096808,36.41062019,959,0.2184759844422452,0.0184345584681595,0.201244949,1.472143938,1,4.877890395
81,60629,2012,22825.9487,6908.1883,106.0708,8.765723894,9.306212185,,13.27308832,,875,0.2099002993270767,0.0083946616253685,0.145461823,2.422619524,1,18.80304169
82,60629,2016,15804.4421,4649.4846,111.5477,8.458674609,8.412392271,59.06156156,10.98755854,32.5,883,0.3058103975535168,0.0093480678343063,0.173649907,1.554437888,1,18.80304169
83,60629,2019,2356.66482,893.28924,23.306,11.08971001,7.084221255,58.85881597,8.846932664,25.50881954,926,0.2123741905282047,0.01201529219006,0.148170332,1.141378782,1,18.80304169
84,60630,2012,6483.8266,682.8431,3.9024,30.08675683,61.60888436,,7.395311382,,963,0.2342846257749454,0.0200013853773421,0.116957582,1.164828966,1,6.577212552
85,60630,2016,5479.2633,587.2036,7.6493,34.54175053,55.85055616,38.82918194,6.396157817,20.14161082,1005,0.1257900071547817,0.0186322442165513,0.072647839,0.591869374,1,6.577212552
86,60630,2019,878.76708,136.47886,1.83748,42.40476833,55.49989226,37.38571429,8.228154272,14.21428571,1101,0.2300853642354814,0.0153699854040426,0.048487559,0.410591283,1,6.577212552
87,60631,2012,1754.0924,101.4524,0.9801,35.3465071,86.25283252,,7.440713035,,1073,0.2508959326397829,0.0145436832399707,0.072948526,1.276023602,0,4.287811105
88,60631,2016,1357.7151,102.8722,0.2368,39.01980151,85.08747078,41.5010281,8.360992572,26.2165867,1119,0.064112169538692,0.0014984480359627,0.046076314,0.23839584,0,4.287811105
89,60631,2019,225.35056,25.3806,0.0,45.9928511,79.985449,44.15133634,4.741626402,29.43422423,1168,0.300789911308204,0.0169068736141906,0.025055083,0.487755239,0,4.287811105
90,60632,2012,13971.1594,3221.7315,65.9978,8.958143947,10.99096919,,12.95618414,,818,0.1962603583823217,0.0213187902825979,0.159375508,1.589430886,0,2.564753381
91,60632,2016,10518.8656,2625.5041,53.569,8.825393275,9.02605053,49.184311,10.47978872,23.25581395,828,0.1219499692433873,0.0093295058437564,0.118070356,0.598584717,0,2.564753381
92,60632,2019,1497.45922,517.67644,17.75132,11.17712588,8.903880528,48.14031377,8.56250227,18.20906046,895,0.1970565064814151,0.024314259113371,0.102370488,0.296446487,0,2.564753381
93,60633,2012,1286.9986,217.3296,4.0864,14.93106154,31.1986625,,9.208371247,,905,0.2427104602141692,0.0204621237716115,0.13516706,1.963801,1,16.26328782
94,60633,2016,879.1638,169.8448,1.9562,15.57294578,34.86775376,38.88506538,9.524722116,29.66276669,904,0.2197417966648736,0.0206251238639902,0.114408124,1.521826,1,16.26328782
95,60633,2019,154.67408,39.08036,0.38932,14.20821791,30.00786164,48.39142091,11.82444686,25.80428954,888,0.0698795180722891,0.0386272362175976,0.08463365,2.007470015,1,16.26328782
96,60634,2012,9975.3441,1294.0036,10.302,21.24539996,59.53502341,,7.754460369,,939,0.2066682037093964,0.0084537350138333,0.109154142,1.457909,1,2.76044929
97,60634,2016,6768.1971,1026.8774,12.5285,23.28144132,56.04099098,47.38637915,8.655873629,22.51944861,983,0.2198444421997431,0.0164504538305026,0.069309418,0.694203,1,2.76044929
98,60634,2019,1009.0987,202.092,2.55648,25.74526748,52.67578435,42.35021155,6.238357994,21.46854101,1113,0.2187184868223815,0.0222397863236215,0.039692384,0.335988385,1,2.76044929
99,60636,2012,16657.5561,6641.7604,131.8713,7.265482599,1.524907657,,24.27408499,,874,0.2560722568045893,0.0154196671955734,0.345020168,2.837046295,1,8.058419667
100,60636,2016,11001.8557,5064.2823,132.9451,8.848945731,0.888789513,59.3919837,24.14768899,38.56997283,867,0.2810353509920435,0.0086614966260449,0.323502365,1.853508649,1,8.058419667
101,60636,2019,1632.86126,1001.38706,31.66516,10.01652411,1.314957222,59.61115807,23.53391837,34.94505495,884,0.0937535213912782,0.027908199676971,0.2716408,1.625631623,1,8.058419667
102,60637,2012,16106.7453,6653.3539,119.4751,30.5793074,15.40437274,,24.90235153,,857,0.0674194619727665,0.0667552308203254,0.227454486,3.075779844,1,78.26315346
103,60637,2016,11823.5449,4965.3152,93.1154,32.73914578,14.11570853,54.47632712,22.92585334,34.80631277,899,0.3144763266278634,0.0077379534134359,0.183376136,2.140211958,1,78.26315346
104,60637,2019,1840.2146,982.04802,24.59,34.20079537,13.83711203,55.50422386,18.61349296,33.79751848,972,0.1065651760228354,0.0128272897064524,0.178787446,1.38969862,1,78.26315346
105,60638,2012,5043.7206,840.0934,10.0,18.28465486,55.17146877,,7.005403356,,894,0.2787791164658634,0.0088835341365461,0.098622514,1.257425743,1,5.995197375
106,60638,2016,3748.9392,553.9189,7.0,19.97451905,47.6829564,46.03174603,5.530720944,24.61404653,934,0.2013466907538183,0.0157661356544588,0.100645462,0.526574657,1,5.995197375
107,60638,2019,630.05712,118.46624,2.92592,21.80562282,42.33310549,38.56845031,4.508757849,20.5930044,999,0.2231004589495155,0.0255700444379689,0.079977121,0.446193429,1,5.995197375
108,60639,2012,15375.9924,4257.5167,41.2611,8.125804254,6.914711942,,11.6542267,,918,0.2686221893217359,0.0135791616544832,0.147799806,1.850129,0,8.38824229
109,60639,2016,10563.654,3148.8132,65.2685,10.54338413,7.112214697,58.56489624,10.08406329,31.34013366,925,0.1399802340404199,0.0229313777446753,0.11294711,0.965713,0,8.38824229
110,60639,2019,1666.64668,557.58724,14.3769,13.56110241,8.070948427,50.80293109,9.58553761,27.04240723,1015,0.1802916263010159,0.0301810865191146,0.073628917,0.659866983,0,8.38824229
111,60640,2012,9693.2939,1823.9919,16.6477,51.8629624,52.32829228,,9.38804819,,844,0.2305561745885199,0.0161885963515965,0.085219966,1.116773032,1,2.90536558
112,60640,2016,7686.67,1385.6644,29.759,53.56363905,54.8294777,45.05901221,8.490516054,21.95172102,920,0.2841028582353503,0.0058630468725105,0.079261025,0.490677203,1,2.90536558
113,60640,2019,1366.02692,285.63222,3.8115,59.8185728,54.75432407,42.92960032,6.996384298,19.26151349,1084,0.2539478465021381,0.0137790323933033,0.043207625,0.315773667,1,2.90536558
114,60641,2012,11313.4972,1864.208,18.2923,22.03418407,38.24585519,,9.624916771,,888,0.2837791400161842,0.0104532706654399,0.134274044,1.52350165,1,5.748733914
115,60641,2016,8759.0161,1437.3731,20.4406,27.89750517,36.72178024,47.32639729,8.845372252,23.39704815,934,0.2185043657314827,0.020393212821985,0.077887594,0.721242876,1,5.748733914
116,60641,2019,1335.06588,290.39078,3.61736,32.28356207,35.71255505,44.78652832,8.493171132,22.60588535,1043,0.0437424058323207,0.0267314702308626,0.053958572,0.561319055,1,5.748733914
117,60642,2012,7073.8239,649.615,5.6938,60.24228321,55.56741183,,8.135143411,,1123,0.2323106565881132,0.0124796205721061,0.083948272,0.643910609,1,0.0
118,60642,2016,5080.1227,553.38,10.4678,64.76779791,58.87328276,37.4465172,9.667584579,13.43487934,1412,0.1159354622643367,0.0182817517385394,0.053793963,0.30440456,1,0.0
119,60642,2019,927.35812,127.21386,2.30628,73.95504039,61.14605517,28.34405145,7.415153532,11.44694534,1793,0.2652567831196964,0.0162770935813196,0.035741886,0.3500503,1,0.0
120,60643,2012,11492.5942,2779.0947,51.912,34.29744793,23.0929738,,12.00039819,,913,0.2177078613800878,0.0173959771144383,0.153632344,2.342224222,1,13.08784895
121,60643,2016,8379.9085,2125.8724,61.8333,35.43911523,21.17132279,49.3984109,9.14207484,31.16912599,944,0.2920153616874928,0.0094004356299438,0.128543801,1.170164016,1,13.08784895
122,60643,2019,1300.35946,388.40304,14.39556,38.05270342,21.7182739,42.79973208,8.409221002,26.56843045,1029,0.1770536562203228,0.0131964229186451,0.103482416,1.3172329,1,13.08784895
123,60644,2012,13660.2808,6913.6546,104.4934,9.555790407,2.35079456,,19.20479742,,849,0.1996349653571492,0.0249499406375702,0.263117521,4.272949,1,16.64308232
124,60644,2016,10751.0008,5822.7266,146.2876,10.79026851,2.20968879,60.60631579,14.21288107,36.73263158,861,0.2879464037303716,0.0117853923456158,0.187886085,2.655807,1,16.64308232
125,60644,2019,1875.08346,1332.6742,48.2062,11.32843527,4.007055903,61.90633518,13.08561386,38.21756009,938,0.2708060080389253,0.0288555108948593,0.144554761,1.845617703,1,16.64308232
126,60645,2012,5168.155,869.3752,5.9827,39.14934094,45.11168628,,11.67521368,,985,0.2763467454907402,0.010948905109489,0.081877779,2.212133,1,27.62237533
127,60645,2016,3637.3681,684.1707,15.2338,41.66021921,43.81192845,55.04322767,10.01007726,29.62034833,995,0.0730696234142443,0.0232743981620217,0.109734746,1.27956,1,27.62237533
128,60645,2019,722.39866,145.7785,2.43628,47.153406,46.3217117,48.95630753,8.381634277,24.75042137,1149,0.1261450435468868,0.0179683756588404,0.073125897,0.594023906,1,27.62237533
129,60646,2012,2348.5756,155.5935,2.2719,46.58810495,74.18994413,,6.793215573,,896,0.2625014625014625,0.0288990288990289,0.087456202,2.181330867,1,9.478322903
130,60646,2016,1816.6194,139.4336,1.0,51.93708274,74.89983245,39.00069396,7.173289279,19.50034698,888,0.2084329241408117,0.0233216531687281,0.06262744,0.485774423,1,9.478322903
131,60646,2019,329.74436,35.64104,0.2,53.82846191,73.30165616,39.68582059,4.027556969,11.90574618,1076,0.0932744978697504,0.0114627713532156,0.047719446,0.551330874,1,9.478322903
132,60647,2012,19726.8209,3444.4742,28.5882,40.92469481,37.60101792,,11.60622029,,972,0.1857325111630874,0.0277482458005528,0.085627737,0.879366063,1,5.557635898
133,60647,2016,14318.4874,2434.7982,30.1488,46.35428534,40.02318097,42.38943403,10.58706259,21.00172069,1092,0.2253867463504217,0.0189248918355277,0.059870852,0.356319368,1,5.557635898
134,60647,2019,2518.99392,472.18402,5.02578,57.37743632,48.50335053,37.1934968,8.758957737,15.8315565,1286,0.2206639954207212,0.0211076130509444,0.039891442,0.210238621,1,5.557635898
135,60649,2012,16705.2738,5943.0182,86.0624,24.37175907,1.756671758,,23.25099891,,815,0.0583438308028906,0.0458794669495458,0.183056449,5.054532547,1,24.64294917
136,60649,2016,12505.399,4682.6014,90.5078,24.84240404,3.098323676,59.68242154,21.22559076,37.45813175,826,0.1850135525050275,0.0129404564133951,0.196780646,3.818793121,1,24.64294917
137,60649,2019,1965.09072,966.78928,25.76104,26.11710554,3.158185371,50.90576503,18.20246118,31.37428453,916,0.2268316817060743,0.020100131440977,0.159745653,2.584927295,1,24.64294917
138,60651,2012,16676.593,6767.8097,122.1555,9.906695213,3.002592505,,16.74727156,,933,0.2167097306944407,0.0270903811832396,0.206261373,2.684562456,1,2.449524715
139,60651,2016,12303.0474,5212.4095,128.9291,12.25909783,3.659385677,56.67443111,14.04631048,32.83461745,921,0.234968287526427,0.0193023255813953,0.173363742,1.500786079,1,2.449524715
140,60651,2019,1951.33478,1058.31908,36.98252,13.22149489,4.998508142,56.81654676,11.46448719,32.41906475,1038,0.2597926638191925,0.0157326522289712,0.111318802,1.170737743,1,2.449524715
141,60652,2012,6228.053,1444.6439,22.151,20.23486902,17.08043927,,5.35189038,,1107,0.0829662766689607,0.0193737095664143,0.112345966,2.428277,0,4.900637693
142,60652,2016,4928.0429,1064.514,28.629,20.56130648,11.8927547,57.91993037,5.64098879,38.64229765,1026,0.0362032248250684,0.0833586857316702,0.127712119,1.184378,0,4.900637693
143,60652,2019,776.40044,215.8948,4.8167,20.16362769,10.26574617,59.02168897,4.937195963,32.53345639,1139,0.287919983268334,0.0109247936222826,0.112171096,1.333018235,0,4.900637693
144,60653,2012,7954.6985,2468.8209,38.6293,26.89668887,4.041563078,,16.70213413,,690,0.2876968799134773,0.0117696243717565,0.230889448,2.312658,1,6.281007697
145,60653,2016,5900.7613,2074.7523,39.7884,28.92745434,4.226123369,51.99889462,13.97609759,27.20154753,726,0.2191662069509023,0.011900070927575,0.215410842,1.575482,1,6.281007697
146,60653,2019,1094.873,415.32678,7.21772,36.16121131,6.245904569,48.24797844,9.130310807,24.03269281,797,0.2479162760572022,0.0194821796860352,0.158383915,1.069551907,1,6.281007697
147,60654,2012,7051.0693,798.8687,7.3301,81.40505631,72.66379133,,17.21599465,,1764,0.1304441849400977,0.0199530008794313,0.07851486,1.088006,0,1.0523025
148,60654,2016,6264.5812,715.521,6.1089,83.74291115,73.33217913,34.3454039,9.557438795,13.09192201,1930,0.222996590397358,0.0233954495743357,0.058315956,0.30989,0,1.0523025
149,60654,2019,1341.18372,202.36332,1.41988,88.46197183,71.96329041,30.94977502,9.321684095,12.81770643,2226,0.2458959011515978,0.0162763834925968,0.022412698,0.667990542,0,1.0523025
150,60655,2012,2184.0373,252.284,0.0,37.8728781,86.73480251,,5.838601711,,967,0.0885648058721267,0.0122657909986478,0.083954005,1.697567243,1,8.056845891
151,60655,2016,1669.0276,179.6963,0.9678,40.86612094,81.92477645,29.94692949,6.137654838,12.73692191,1036,0.2889091738931995,0.0146754204262191,0.051033208,1.031114889,1,8.056845891
